evidence_id,document_id,section_title,text,source_type,planted,title,approval_status,valid_from,valid_until,created_at,language,source_trust_level,metadata
CHAL7-2C80-001-E-PROC,CHAL7-2C80-001-D-PROC,Operating workflow,"The approved security incident procedure records intake through the helpdesk portal, severity review, containment coordination, recovery handover, escalation to the ISMS lead and executive sponsor, and active document revision 2026.2.",company_policy,True,Security Incident Operating Procedure,approved,2026-01-01,2027-01-01,2026-03-12,en,high,{}
CHAL7-2C80-001-E-DUTY,CHAL7-2C80-001-D-DUTY,Named response owners,"The register names the incident lead, technical coordinator, communications owner, supplier liaison, legal reviewer, and executive approver.",role_matrix,True,Incident Duty Register,approved,2026-01-01,2027-01-01,2026-03-12,en,high,{}
CHAL7-2C80-001-E-DRILL,CHAL7-2C80-001-D-DRILL,Exercise outcome and corrective actions,"The 2026 exercise record lists scenario decisions, participants, gaps, owners, lessons learned, closure evidence, and management review.",test_record,True,March 2026 Security Incident Exercise Minutes,approved,2026-01-01,2027-01-01,2026-03-08,en,high,{}
CHAL7-2C80-001-E-SUP,CHAL7-2C80-001-D-SUP,Supplier notification,Managed service providers must notify suspected security incidents within one business day and escalate material supplier events to the incident lead and procurement owner.,supplier_contract,True,Managed Service Incident Notification Clause,approved,2026-01-01,2027-01-01,2026-03-12,en,high,{}
CHAL7-CDD6-002-E-RUNBOOK,CHAL7-CDD6-002-D-RUN,Response coordination,"The runbook defines reporting to the security mailbox, triage by the duty lead, escalation to management, recovery handover, document owner approval, and valid revision 2026-Q1.",company_policy,True,Security Event Runbook,approved,2026-01-01,2027-01-01,2026-03-12,en,high,{}
CHAL7-CDD6-002-E-ROSTER,CHAL7-CDD6-002-D-ROS,Response assignment,"Named staff are assigned for incident command, technical investigation, communications, legal review, and management sign-off.",role_matrix,True,On-Call Security Roster,approved,2026-01-01,2027-01-01,2026-03-12,en,high,{}
CHAL7-CDD6-002-E-TESTGAP,CHAL7-CDD6-002-D-AUD,Exercise evidence gap,"The procedure is current, but no exercise minutes, tabletop record, or post-exercise lessons learned evidence was provided for the current period.",audit_report,True,Evidence Completeness Review,approved,2026-01-01,2027-01-01,2026-03-12,en,high,{}
CHAL7-CDD6-002-E-SUP,CHAL7-CDD6-002-D-SUP,Provider reporting,Providers must notify security incidents to procurement and the incident lead within one business day.,supplier_contract,True,Service Provider Security Addendum,approved,2026-01-01,2027-01-01,2026-03-12,en,high,{}
CHAL7-4EB1-003-E-NONE,CHAL7-4EB1-003-D-AUD,Incident response sample,"The sample found references to cyber risk and outage handling, but no approved incident response procedure, no named response roles, and no current exercise evidence.",audit_report,True,ISMS Document Sampling Note,approved,2026-01-01,2027-01-01,2026-03-12,en,high,{}
CHAL7-4EB1-003-E-DIST,CHAL7-4EB1-003-D-BCP,Service outage priorities,"The checklist lists recovery priorities and stakeholder calls for office outages; it does not define security incident reporting, response roles, or supplier security escalation.",irrelevant_document,False,Business Continuity Recovery Checklist,approved,2026-01-01,2027-01-01,2026-03-12,en,medium,{}
