evidence_id,document_id,section_title,text,source_type,planted,title,approval_status,valid_from,valid_until,created_at,language,source_trust_level,metadata
IRV03HELD-0001-EV-GUIDE,IRV03HELD-0001-DOC-GUIDE,"Intake, notification, escalation, and document control","The cyber incident handling guide records intake assessment, immediate containment, restoration coordination, ticket-based reporting, escalation to the security governance lead, leadership sign-off, and controlled revision 2026-03.",company_policy,True,Cyber Incident Handling Guide,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0001-EV-DUTIES,IRV03HELD-0001-DOC-DUTIES,Named accountability roster,"The roster names the event lead, technical coordinator, communication owner, procurement liaison, legal reviewer, and executive sign-off owner.",role_matrix,True,Cyber Response Duty Roster,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0001-EV-REHEARSAL,IRV03HELD-0001-DOC-REHEARSAL,Recent rehearsal and corrective actions,"In April 2026 the organization completed a ransomware response rehearsal; minutes record attendees, decisions, improvement actions, owners, and closure evidence.",test_record,True,Ransomware Response Rehearsal Minutes,approved,2026-01-01,2027-01-01,2026-04-05,en,high,{}
IRV03HELD-0001-EV-VENDOR,IRV03HELD-0001-DOC-VENDOR,Third-party notification and escalation,Managed service providers must notify the company within one business day of suspected cyber incidents and escalate critical provider events to the event lead and procurement liaison.,supplier_contract,True,Provider Security Notification Clause,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0002-EV-GUIDE,IRV03HELD-0002-DOC-GUIDE,"Intake, notification, escalation, and document control","The cyber incident handling guide records intake assessment, immediate containment, restoration coordination, ticket-based reporting, escalation to the security governance lead, leadership sign-off, and controlled revision 2026-03.",company_policy,True,Cyber Incident Handling Guide,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0002-EV-DUTIES,IRV03HELD-0002-DOC-DUTIES,Named accountability roster,"The roster names the event lead, technical coordinator, communication owner, procurement liaison, legal reviewer, and executive sign-off owner.",role_matrix,True,Cyber Response Duty Roster,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0002-EV-VENDOR,IRV03HELD-0002-DOC-VENDOR,Third-party notification and escalation,Managed service providers must notify the company within one business day of suspected cyber incidents and escalate critical provider events to the event lead and procurement liaison.,supplier_contract,True,Provider Security Notification Clause,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0002-EV-NO-TEST,IRV03HELD-0002-DOC-HELD-AUD,Cyber incident evidence assessment,No current exercise minutes or improvement-action closure records were provided.,audit_report,True,Assurance Review Note,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0002-EV-DIST-0,IRV03HELD-0002-DOC-DIST-0,Distractor content,"The asset register contains system owners, recovery tiers, and security labels for laptops and servers.",irrelevant_document,False,Irrelevant Security Document,approved,2026-01-01,2027-01-01,2026-01-15,en,medium,{}
IRV03HELD-0002-EV-DIST-1,IRV03HELD-0002-DOC-DIST-1,Distractor content,The access control review mentions emergency accounts and escalation but not incident response operations.,irrelevant_document,False,Irrelevant Security Document,approved,2026-01-01,2027-01-01,2026-01-15,en,medium,{}
IRV03HELD-0003-EV-NONE,IRV03HELD-0003-DOC-HELD-AUD,Cyber incident evidence assessment,No approved cyber incident handling guide or equivalent implementation evidence was available.,audit_report,True,Assurance Review Note,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0003-EV-DIST-0,IRV03HELD-0003-DOC-DIST-0,Distractor content,The vulnerability scan summary contains remediation owners but no incident reporting channel.,irrelevant_document,False,Irrelevant Security Document,approved,2026-01-01,2027-01-01,2026-01-15,en,medium,{}
IRV03HELD-0003-EV-DIST-1,IRV03HELD-0003-DOC-DIST-1,Distractor content,"The asset register contains system owners, recovery tiers, and security labels for laptops and servers.",irrelevant_document,False,Irrelevant Security Document,approved,2026-01-01,2027-01-01,2026-01-15,en,medium,{}
IRV03HELD-0004-EV-PLAN,IRV03HELD-0004-DOC-HELD-AUD,Cyber incident evidence assessment,Management plans to introduce incident rehearsals and vendor escalation clauses during the next audit cycle.,audit_report,True,Assurance Review Note,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0004-EV-DIST-0,IRV03HELD-0004-DOC-DIST-0,Distractor content,"The supplier onboarding checklist asks whether providers have an incident process, but it is not a company procedure.",irrelevant_document,False,Irrelevant Security Document,approved,2026-01-01,2027-01-01,2026-01-15,en,medium,{}
IRV03HELD-0004-EV-DIST-1,IRV03HELD-0004-DOC-DIST-1,Distractor content,"The asset register contains system owners, recovery tiers, and security labels for laptops and servers.",irrelevant_document,False,Irrelevant Security Document,approved,2026-01-01,2027-01-01,2026-01-15,en,medium,{}
IRV03HELD-0005-EV-GUIDE,IRV03HELD-0005-DOC-GUIDE,"Intake, notification, escalation, and document control","The cyber incident handling guide records intake assessment, immediate containment, restoration coordination, ticket-based reporting, escalation to the security governance lead, leadership sign-off, and controlled revision 2026-03.",company_policy,True,Cyber Incident Handling Guide,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0005-EV-DUTIES,IRV03HELD-0005-DOC-DUTIES,Named accountability roster,"The roster names the event lead, technical coordinator, communication owner, procurement liaison, legal reviewer, and executive sign-off owner.",role_matrix,True,Cyber Response Duty Roster,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0005-EV-REHEARSAL,IRV03HELD-0005-DOC-REHEARSAL,Recent rehearsal and corrective actions,"In April 2026 the organization completed a ransomware response rehearsal; minutes record attendees, decisions, improvement actions, owners, and closure evidence.",test_record,True,Ransomware Response Rehearsal Minutes,approved,2026-01-01,2027-01-01,2026-04-05,en,high,{}
IRV03HELD-0005-EV-VENDOR,IRV03HELD-0005-DOC-VENDOR,Third-party notification and escalation,Managed service providers must notify the company within one business day of suspected cyber incidents and escalate critical provider events to the event lead and procurement liaison.,supplier_contract,True,Provider Security Notification Clause,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0006-EV-GUIDE,IRV03HELD-0006-DOC-GUIDE,"Intake, notification, escalation, and document control","The cyber incident handling guide records intake assessment, immediate containment, restoration coordination, ticket-based reporting, escalation to the security governance lead, leadership sign-off, and controlled revision 2026-03.",company_policy,True,Cyber Incident Handling Guide,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0006-EV-DUTIES,IRV03HELD-0006-DOC-DUTIES,Named accountability roster,"The roster names the event lead, technical coordinator, communication owner, procurement liaison, legal reviewer, and executive sign-off owner.",role_matrix,True,Cyber Response Duty Roster,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0006-EV-REHEARSAL,IRV03HELD-0006-DOC-REHEARSAL,Recent rehearsal and corrective actions,"In April 2026 the organization completed a ransomware response rehearsal; minutes record attendees, decisions, improvement actions, owners, and closure evidence.",test_record,True,Ransomware Response Rehearsal Minutes,approved,2026-01-01,2027-01-01,2026-04-05,en,high,{}
IRV03HELD-0006-EV-NO-VENDOR,IRV03HELD-0006-DOC-HELD-AUD,Cyber incident evidence assessment,The provider notification clause is absent from current agreements.,audit_report,True,Assurance Review Note,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0006-EV-DIST-0,IRV03HELD-0006-DOC-DIST-0,Distractor content,"The asset register contains system owners, recovery tiers, and security labels for laptops and servers.",irrelevant_document,False,Irrelevant Security Document,approved,2026-01-01,2027-01-01,2026-01-15,en,medium,{}
IRV03HELD-0006-EV-DIST-1,IRV03HELD-0006-DOC-DIST-1,Distractor content,The awareness training slide says employees should be careful with suspicious emails.,irrelevant_document,False,Irrelevant Security Document,approved,2026-01-01,2027-01-01,2026-01-15,en,medium,{}
IRV03HELD-0007-EV-KEYWORDS,IRV03HELD-0007-DOC-HELD-AUD,Cyber incident evidence assessment,"A glossary mentions response, escalation, test, suppliers, evidence and approval, but no implemented company document was found.",audit_report,True,Assurance Review Note,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0007-EV-DIST-0,IRV03HELD-0007-DOC-DIST-0,Distractor content,"The asset register contains system owners, recovery tiers, and security labels for laptops and servers.",irrelevant_document,False,Irrelevant Security Document,approved,2026-01-01,2027-01-01,2026-01-15,en,medium,{}
IRV03HELD-0007-EV-DIST-1,IRV03HELD-0007-DOC-DIST-1,Distractor content,The vulnerability scan summary contains remediation owners but no incident reporting channel.,irrelevant_document,False,Irrelevant Security Document,approved,2026-01-01,2027-01-01,2026-01-15,en,medium,{}
IRV03HELD-0008-EV-DRAFT-HELD,IRV03HELD-0008-DOC-DRAFT,Unapproved future operating model,"Draft handbook: teams will define intake, roles, notification, vendor escalation, rehearsals, lessons learned, approval and document control.",draft_policy,True,Draft Cyber Event Handbook,draft,2026-01-01,2027-01-01,2026-01-15,en,medium,{}
IRV03HELD-0008-EV-DIST-0,IRV03HELD-0008-DOC-DIST-0,Distractor content,The risk register lists cyber incident as a risk scenario without an approved response procedure.,irrelevant_document,False,Irrelevant Security Document,approved,2026-01-01,2027-01-01,2026-01-15,en,medium,{}
IRV03HELD-0008-EV-DIST-1,IRV03HELD-0008-DOC-DIST-1,Distractor content,The access control review mentions emergency accounts and escalation but not incident response operations.,irrelevant_document,False,Irrelevant Security Document,approved,2026-01-01,2027-01-01,2026-01-15,en,medium,{}
IRV03HELD-0009-EV-GUIDE,IRV03HELD-0009-DOC-GUIDE,"Intake, notification, escalation, and document control","The cyber incident handling guide records intake assessment, immediate containment, restoration coordination, ticket-based reporting, escalation to the security governance lead, leadership sign-off, and controlled revision 2026-03.",company_policy,True,Cyber Incident Handling Guide,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0009-EV-DUTIES,IRV03HELD-0009-DOC-DUTIES,Named accountability roster,"The roster names the event lead, technical coordinator, communication owner, procurement liaison, legal reviewer, and executive sign-off owner.",role_matrix,True,Cyber Response Duty Roster,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0009-EV-REHEARSAL,IRV03HELD-0009-DOC-REHEARSAL,Recent rehearsal and corrective actions,"In April 2026 the organization completed a ransomware response rehearsal; minutes record attendees, decisions, improvement actions, owners, and closure evidence.",test_record,True,Ransomware Response Rehearsal Minutes,approved,2026-01-01,2027-01-01,2026-04-05,en,high,{}
IRV03HELD-0009-EV-VENDOR,IRV03HELD-0009-DOC-VENDOR,Third-party notification and escalation,Managed service providers must notify the company within one business day of suspected cyber incidents and escalate critical provider events to the event lead and procurement liaison.,supplier_contract,True,Provider Security Notification Clause,approved,2026-01-01,2027-01-01,2026-01-15,en,high,{}
IRV03HELD-0009-EV-DIST-0,IRV03HELD-0009-DOC-DIST-0,Distractor content,The access control review mentions emergency accounts and escalation but not incident response operations.,irrelevant_document,False,Irrelevant Security Document,approved,2026-01-01,2027-01-01,2026-01-15,en,medium,{}
