claim_id,claim_text,supported_by_result_file,exact_metric,exact_value,confidence_interval,support_status,required_wording_adjustment,keep_in_paper
C1,ISMS-Bench provides a reproducible synthetic benchmark for evidence-grounded ISMS compliance pre-assessment.,data/benchmark/*v03*.jsonl; data/benchmark/paraphrase_stress_cases_v04.jsonl; data/attacks/adaptive_attack_cases_v04.jsonl; scripts/*.py,Generated deterministic benchmark artifacts,1700 non-attack cases plus 400 attack cases,not applicable,fully supported,State as synthetic and reproducible; do not imply real-world validation.,yes
C2,"The benchmark includes heldout, stress, mutation, paraphrase/multilingual, and advanced static adversarial cases.",experiments/results/by_split_v04.csv; data/attacks/adaptive_attack_summary_v04.json,Split sizes,500 heldout; 300 stress; 200 mutation; 200 paraphrase; 200 advanced static adversarials,not applicable,fully supported,Use exact split names and sizes.,yes
C3,BM25 is a credible lexical retrieval baseline but imperfect.,experiments/results/retrieval_eval_bm25_k5_v04.json,Recall@5,0.8673,not computed,fully supported,Avoid saying retrieval is solved; mention paraphrase/reranking future work.,yes
C4,Metadata-aware rules have slightly higher Macro-F1 than provenance-balanced assessment.,experiments/results/summary_v04.csv; experiments/results/bootstrap_ci_v04.csv,Macro-F1,metadata-aware 0.5830; provenance-balanced 0.5729,"metadata-aware [0.5631,0.6056]; provenance-balanced [0.5504,0.5941]",fully supported,Explicitly state provenance-balanced does not improve overall Macro-F1.,yes
C5,Provenance-balanced assessment reduces false compliance compared with metadata-aware rules.,experiments/results/summary_v04.csv; experiments/results/bootstrap_ci_v04.csv; experiments/results/method_comparison_tests_v04.csv,False compliance rate,0.1694 to 0.0971,"metadata-aware [0.1529,0.1888]; provenance-balanced [0.0859,0.1112]; paired reduction [0.0524,0.0906]",fully supported,"Frame as risk reduction, not accuracy improvement.",yes
C6,Conservative provenance assessment reduces false compliance further but increases abstention.,experiments/results/summary_v04.csv; experiments/results/bootstrap_ci_v04.csv,False compliance rate and abstention rate,false compliance 0.0288; abstention 0.4047,"false compliance [0.0218,0.0365]; abstention [0.3847,0.4300]",fully supported,State the abstention cost prominently.,yes
C7,Provenance-aware methods reduce residual attack risk compared with metadata-aware rules.,experiments/results/attack_metrics_by_method_v04.csv; experiments/results/bootstrap_ci_v04.csv,Residual attack risk score,metadata-aware 0.7660; provenance-balanced 0.3296; conservative 0.3184,"metadata-aware [0.7086,0.8240]; provenance-balanced [0.2924,0.3891]; conservative [0.2833,0.3717]",fully supported,"Say reduce, not eliminate.",yes
C8,Advanced static adversarial fixtures reveal residual unsafe-evidence risk.,experiments/results/attack_metrics_by_method_v04.csv; experiments/results/attack_metrics_by_type_v04.csv,Partial attack success rate,provenance-balanced static-fixture partial success 0.5550; conservative 0.5750,not computed by attack type; combined attack CI available,fully supported,Emphasize residual risk and generator dependence.,yes
C9,Heldout and paraphrase splits reduce template-coupling concerns.,experiments/results/by_split_v04.csv; scripts/check_generator_coupling.py,Heldout Macro-F1 and coupling check,development 0.6267; heldout 0.5421; paraphrase 0.4524; coupling check passed,not computed by split,partially supported,Say they mitigate coupling concerns; do not say coupling is eliminated.,yes
C10,The benchmark proves real-world effectiveness.,none,none,none,none,unsupported,Remove; replace with synthetic method-development limitation.,no
C11,The system certifies compliance or can replace auditors.,none,none,none,none,unsupported,Remove; state explicitly that it is pre-assessment only and humans remain responsible.,no
C12,Attack risk is eliminated by provenance methods.,experiments/results/attack_metrics_by_method_v04.csv,Partial attack success and residual attack risk,provenance-balanced attack success 0.3425; residual risk 0.3296,"residual risk [0.2924,0.3891]",unsupported,Replace with reduces full success and residual risk but partial risk remains.,no
C13,Fixed challenge cases reduce obvious generator-dependence concerns.,data/benchmark/independent_challenge_cases_v07.jsonl; experiments/results/external_validity_v07.csv,Challenge size and false compliance,80 fixed cases; conservative false compliance 0.0000 vs metadata-aware 0.0250,not computed,partially supported,State as a synthetic stress check; do not claim real-world validation.,yes
C14,The alternative generator supports the risk-reduction claim outside the original generator path.,src/kisec/benchmark/alt_generator_v07.py; experiments/results/external_validity_v07.csv,Alternative generator size and residual risk,400 cases; provenance-balanced residual risk 0.0000 vs metadata-aware 0.1000,not computed,partially supported,"Say it reduces original-template dependence, not project-level synthetic dependence.",yes
C15,Provenance-balanced is consistently better than metadata-aware rules under robustness and diagnostic checks.,experiments/results/external_validity_v07.csv,Macro-F1 and false compliance,independent Macro-F1 0.4788 vs 0.6481; paraphrase false compliance 0.2500 vs 0.0000,not computed,unsupported,Do not claim; state balanced provenance is not uniformly superior.,no
C16,Conservative provenance is the more consistent false-compliance reduction option under diagnostic stress checks.,experiments/results/external_validity_v07.csv,False compliance and abstention,independent false compliance 0.0000; paraphrase false compliance 0.0000; static-fixture false compliance 0.0000; independent abstention 0.4625; paraphrase abstention 0.5800,not computed,partially supported,Keep with explicit abstention cost.,yes
C17,False compliance is a security-relevant failure mode in AI-assisted ISMS pre-assessment.,paper/sections/04_problem_statement.tex; experiments/results/summary_v04.csv,False compliance rate,metadata-aware false compliance 0.1694 on main benchmark,not applicable,partially supported,Frame as a security risk demonstrated in benchmark conditions; do not claim real-world incidence.,yes
C18,"Provenance-aware assessment reduces risk-critical failures, with conservative provenance the clearest supported variant.",experiments/results/summary_v04.csv; experiments/results/attack_metrics_by_method_v04.csv; experiments/results/external_validity_v07.csv,False compliance and residual attack risk,conservative false compliance 0.0288; combined residual risk 0.3184; fixed-challenge false compliance 0.0000,"main false compliance [0.0218,0.0365]; combined residual risk [0.2833,0.3717]",fully supported for benchmark; partially supported by robustness and diagnostic checks,Foreground conservative provenance; avoid saying balanced provenance is consistently superior.,yes
C19,Advanced static adversarial fixtures reveal residual risk rather than perfect attack resistance.,experiments/results/attack_metrics_by_method_v04.csv; experiments/results/attack_metrics_by_type_v04.csv,Partial attack success and residual attack risk,provenance-conservative static-fixture partial success 0.5750; combined residual risk 0.3184,"combined residual risk [0.2833,0.3717]",fully supported,State reduce not eliminate.,yes
C20,The cited literature supports a research gap in AI-assisted ISMS assessment but not an exhaustive novelty proof.,paper/references.bib,Cited literature,Final bibliography supports cautious gap wording,not applicable,partially supported,Say reviewed literature indicates a gap; do not claim exhaustive absence of competing work.,yes
C21,A manually authored mini-split reduces the concern that results only measure generated templates.,data/benchmark/manual_challenge_cases_v09.jsonl; experiments/results/manual_challenge_v09.csv,Manual challenge size and false compliance,50 fixed manual cases; conservative false compliance 0.040 vs metadata-aware 0.100,not computed,partially supported,Keep as a generator-independent stress check; do not claim real-world validation.,yes
C22,Conservative provenance still reduces false compliance on the manual challenge set but loses classification utility.,experiments/results/manual_challenge_v09.csv,False compliance and Macro-F1,false compliance 0.100 to 0.040; Macro-F1 0.577 to 0.537,not computed,fully supported for manual mini-split,State manual set is small and project-authored.,yes
C23,The ACSAC paper foregrounds false-compliance risk and keeps major numerical claims aligned with result files.,paper/compile_status.json; paper/compile_log.txt,Compile status and paper source,compiled paper and result-backed tables,not applicable,fully supported for local package state,Keep title and abstract; verify final template manually before submission.,yes
