evidence_id,document_id,section_title,text,source_type,planted,metadata
IRCASE-0001-EV-PROCESS-0,IRCASE-0001-DOC-A,Documented incident response process: Process,"For requirement IR-001, The incident response procedure defines detection, triage, containment, eradication, recovery, communication, and post-incident review steps.",procedure,True,"{'evidence_type': 'process', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0001-EV-ROLES-1,IRCASE-0001-DOC-A,Documented incident response process: Roles,"For requirement IR-001, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0001-EV-POST_INCIDENT_REVIEW-2,IRCASE-0001-DOC-A,Documented incident response process: Post Incident Review,"For requirement IR-001, The post-incident review template records root cause, impact, corrective actions, and management approval.",procedure,True,"{'evidence_type': 'post_incident_review', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0001-EV-DISTRACTOR_0-0,IRCASE-0001-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0001-EV-DISTRACTOR_1-0,IRCASE-0001-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0002-EV-ESCALATION-0,IRCASE-0002-DOC-A,Incident response roles and responsibilities: Escalation,"For requirement IR-002, Confirmed high-severity incidents are escalated to the security manager and crisis lead within four hours.",policy,True,"{'evidence_type': 'escalation', 'requirement_id': 'IR-002', 'synthetic': True}"
IRCASE-0002-EV-DISTRACTOR_0-0,IRCASE-0002-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0002-EV-DISTRACTOR_1-0,IRCASE-0002-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0003-EV-NON_SUPPORTING-0,IRCASE-0003-DOC-A,Testing of incident response capability: Audit Gap Note,"For requirement IR-003, No documented incident response process, role assignment, response test, or escalation workflow could be identified for this company.",audit_note,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-003', 'synthetic': True, 'label': 'not_fulfilled'}"
IRCASE-0003-EV-DISTRACTOR_0-0,IRCASE-0003-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0003-EV-DISTRACTOR_1-0,IRCASE-0003-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0004-EV-NON_SUPPORTING-0,IRCASE-0004-DOC-A,Incident reporting and escalation: General Security Statement,"For requirement IR-004, The company handles security events as needed and employees know to contact appropriate people when something important happens.",policy,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-004', 'synthetic': True, 'label': 'unclear'}"
