evidence_id,source_id,source_url,page_or_section_reference,short_excerpt_or_paraphrase,criterion_tags,original_source_type,canonical_source_type,implementation_evidence_allowed,source_type,approval_status_if_inferable,validity_or_review_date_if_inferable,language,trust_level,redistribution_note,rationale_for_source_type,ambiguity_flag
PUBIR-E001,PUBIR-S01-MSU,https://www.infosecurity.msstate.edu/isp/irplan,Overview,Paraphrase: the MSU plan page describes procedures for timely response to information security breaches.,"[""documented_incident_response_process""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E002,PUBIR-S01-MSU,https://www.infosecurity.msstate.edu/isp/irplan,Key elements,"Paraphrase: listed elements include incident reporting, investigation, communication, forensic analysis, and post mortem.","[""incident_reporting_channel"", ""evidence_preservation"", ""post_incident_review_or_lessons_learned""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E003,PUBIR-S01-MSU,https://www.infosecurity.msstate.edu/isp/irplan,Full plan pointer,Paraphrase: the page links to the full cybersecurity incident response plan PDF.,"[""documented_incident_response_process"", ""document_version_and_validity""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E004,PUBIR-S03-UMGC,https://www.umgc.edu/administration/policies-and-reporting/policies/info-governance-security-technology/information-security-incident-response,Security Incident Response,"Paraphrase: the policy requires an Information Security Incident response plan with organized response, roles, management notification, reportable incidents, and severity classifications.","[""documented_incident_response_process"", ""assigned_roles_and_responsibilities"", ""escalation_procedure""]",company_policy,public_org_policy,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_policy to public_org_policy: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E005,PUBIR-S03-UMGC,https://www.umgc.edu/administration/policies-and-reporting/policies/info-governance-security-technology/information-security-incident-response,CIRT,"Paraphrase: a CIRT is established under the senior information-security director and contains technical, administrative, and communication skills.","[""assigned_roles_and_responsibilities"", ""management_approval""]",company_policy,public_org_policy,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_policy to public_org_policy: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E006,PUBIR-S03-UMGC,https://www.umgc.edu/administration/policies-and-reporting/policies/info-governance-security-technology/information-security-incident-response,Incident Reporting,Paraphrase: suspected information security incidents can be reported to the technical support service desk or Information Security.,"[""incident_reporting_channel""]",company_policy,public_org_policy,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_policy to public_org_policy: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E007,PUBIR-S03-UMGC,https://www.umgc.edu/administration/policies-and-reporting/policies/info-governance-security-technology/information-security-incident-response,Annual review,"Paraphrase: the plan and procedures are reviewed at least annually to address changes, problems, execution, or testing.","[""document_version_and_validity"", ""periodic_testing_or_exercises""]",company_policy,public_org_policy,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_policy to public_org_policy: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E008,PUBIR-S03-UMGC,https://www.umgc.edu/administration/policies-and-reporting/policies/info-governance-security-technology/information-security-incident-response,Documentation,Paraphrase: incident handling is documented in the response plan and remediation processes are documented separately.,"[""documented_incident_response_process"", ""evidence_preservation""]",company_policy,public_org_policy,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_policy to public_org_policy: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E009,PUBIR-S04-UA,https://oit.ua.edu/services/cybersecurity/information-security-incident-response-procedures/,Purpose,"Paraphrase: the UA plan provides oversight, management, remediation, recovery, and documentation for all security incidents.","[""documented_incident_response_process"", ""post_incident_review_or_lessons_learned""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E010,PUBIR-S04-UA,https://oit.ua.edu/services/cybersecurity/information-security-incident-response-procedures/,Reporting,Paraphrase: incidents are reported through the OIT service desk email or phone channel.,"[""incident_reporting_channel""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E011,PUBIR-S04-UA,https://oit.ua.edu/services/cybersecurity/information-security-incident-response-procedures/,Authority,"Paraphrase: the CIO, deputy CIO, CISO, and emergency management leadership have oversight and management responsibilities.","[""assigned_roles_and_responsibilities"", ""management_approval""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E012,PUBIR-S04-UA,https://oit.ua.edu/services/cybersecurity/information-security-incident-response-procedures/,Incident management,"Paraphrase: the response team uses NIST SP 800-61 concepts and phases including preparation, detection, containment, eradication, and recovery.","[""documented_incident_response_process"", ""escalation_procedure""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E013,PUBIR-S04-UA,https://oit.ua.edu/services/cybersecurity/information-security-incident-response-procedures/,Investigation approval,"Paraphrase: sensitive investigations require approval from appropriate authority groups such as HR, legal, law enforcement, dean, or vice president.","[""management_approval"", ""escalation_procedure""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
