case_id,expected_status,predicted_metadata_aware,predicted_provenance_balanced,predicted_provenance_conservative,predicted_provenance_conservative_with_guard,false_compliance_by_method,abstention_by_method,evidence_ids_used_by_method,source_type,requirement_criteria,missing_criteria,likely_error_type,all_error_categories,rationale
PUBEXT18-001,fulfilled,partially_fulfilled,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E006""], ""provenance_balanced"": [""PUBIR-E004"", ""PUBIR-E005"", ""PUBIR-E006"", ""PUBIR-E007"", ""PUBIR-E008""], ""provenance_conservative"": [""PUBIR-E004"", ""PUBIR-E005"", ""PUBIR-E006"", ""PUBIR-E007"", ""PUBIR-E008""], ""provenance_conservative_with_guard"": [""PUBIR-E004"", ""PUBIR-E005"", ""PUBIR-E006"", ""PUBIR-E007"", ""PUBIR-E008""]}",company_policy,documented_incident_response_process|incident_reporting_channel|assigned_roles_and_responsibilities,,source_type_mapping_error,source_type_mapping_error|label_too_strict|method_overabstains,"UMGC policy supports plan contents, CIRT roles, and reporting channel."
PUBEXT18-002,fulfilled,unclear,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E009"", ""PUBIR-E010"", ""PUBIR-E011"", ""PUBIR-E012""], ""provenance_conservative"": [""PUBIR-E009"", ""PUBIR-E010"", ""PUBIR-E011"", ""PUBIR-E012""], ""provenance_conservative_with_guard"": [""PUBIR-E009"", ""PUBIR-E010"", ""PUBIR-E011"", ""PUBIR-E012""]}",company_policy,documented_incident_response_process|escalation_procedure|management_approval,,source_type_mapping_error,source_type_mapping_error|label_too_strict|method_overabstains,"UA evidence supports process, authority, and escalation/approval paths."
PUBEXT18-003,fulfilled,partially_fulfilled,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E017"", ""PUBIR-E019"", ""PUBIR-E020""], ""provenance_balanced"": [""PUBIR-E017"", ""PUBIR-E019"", ""PUBIR-E020"", ""PUBIR-E021"", ""PUBIR-E023""], ""provenance_conservative"": [""PUBIR-E017"", ""PUBIR-E019"", ""PUBIR-E020"", ""PUBIR-E021"", ""PUBIR-E023""], ""provenance_conservative_with_guard"": [""PUBIR-E017"", ""PUBIR-E019"", ""PUBIR-E020"", ""PUBIR-E021"", ""PUBIR-E023""]}",company_policy,documented_incident_response_process|assigned_roles_and_responsibilities|incident_reporting_channel|evidence_preservation,,source_type_mapping_error,source_type_mapping_error|requirement_too_composite|label_too_strict|method_overabstains,"UConn evidence supports process, roles, reporting contacts, and evidence preservation."
PUBEXT18-004,fulfilled,partially_fulfilled,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E041""], ""provenance_balanced"": [""PUBIR-E039"", ""PUBIR-E041""], ""provenance_conservative"": [""PUBIR-E039"", ""PUBIR-E041""], ""provenance_conservative_with_guard"": [""PUBIR-E039"", ""PUBIR-E041""]}",company_policy,documented_incident_response_process|document_version_and_validity|periodic_testing_or_exercises,,source_type_mapping_error,source_type_mapping_error|label_too_strict|method_overabstains,WWU guideline supports approved/reviewed IRP elements and annual exercise testing.
PUBEXT18-005,fulfilled,partially_fulfilled,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E036"", ""PUBIR-E037""], ""provenance_balanced"": [""PUBIR-E035"", ""PUBIR-E036"", ""PUBIR-E037"", ""PUBIR-E038""], ""provenance_conservative"": [""PUBIR-E035"", ""PUBIR-E036"", ""PUBIR-E037"", ""PUBIR-E038""], ""provenance_conservative_with_guard"": [""PUBIR-E035"", ""PUBIR-E036"", ""PUBIR-E037"", ""PUBIR-E038""]}",company_policy,documented_incident_response_process|escalation_procedure|evidence_preservation|post_incident_review_or_lessons_learned,,source_type_mapping_error,source_type_mapping_error|requirement_too_composite|paraphrase_too_short|label_too_strict|method_overabstains,"USNH standard supports process phases, documentation/evidence, and lessons learned."
PUBEXT18-006,fulfilled,partially_fulfilled,partially_fulfilled,partially_fulfilled,partially_fulfilled,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": [""PUBIR-E045""], ""provenance_balanced"": [""PUBIR-E042"", ""PUBIR-E043"", ""PUBIR-E045""], ""provenance_conservative"": [""PUBIR-E042"", ""PUBIR-E043"", ""PUBIR-E045""], ""provenance_conservative_with_guard"": [""PUBIR-E042"", ""PUBIR-E043"", ""PUBIR-E045""]}",company_policy,documented_incident_response_process|assigned_roles_and_responsibilities|supplier_or_third_party_incident_escalation,,source_type_mapping_error,source_type_mapping_error|paraphrase_too_short|label_too_strict,"McNeese plan supports risk classification, IRT roles, and procurement involvement for vendor incidents."
PUBEXT18-007,fulfilled,partially_fulfilled,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E031""], ""provenance_balanced"": [""PUBIR-E031""], ""provenance_conservative"": [""PUBIR-E031""], ""provenance_conservative_with_guard"": [""PUBIR-E031""]}",company_policy,documented_incident_response_process|incident_reporting_channel|evidence_preservation,,source_type_mapping_error,source_type_mapping_error|label_too_strict|method_overabstains,"SCU procedure supports immediate reporting, incident handler assignment, logs, and evidence preservation."
PUBEXT18-008,fulfilled,partially_fulfilled,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E033"", ""PUBIR-E034""], ""provenance_balanced"": [""PUBIR-E032"", ""PUBIR-E033"", ""PUBIR-E034""], ""provenance_conservative"": [""PUBIR-E032"", ""PUBIR-E033"", ""PUBIR-E034""], ""provenance_conservative_with_guard"": [""PUBIR-E032"", ""PUBIR-E033"", ""PUBIR-E034""]}",company_policy,documented_incident_response_process|incident_reporting_channel|escalation_procedure,,source_type_mapping_error,source_type_mapping_error|label_too_strict|method_overabstains,"Albany State policy supports process, help-desk reporting, and escalation responsibilities."
PUBEXT18-009,fulfilled,partially_fulfilled,partially_fulfilled,partially_fulfilled,partially_fulfilled,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": [""PUBIR-E002""], ""provenance_balanced"": [""PUBIR-E001"", ""PUBIR-E002"", ""PUBIR-E003""], ""provenance_conservative"": [""PUBIR-E001"", ""PUBIR-E002"", ""PUBIR-E003""], ""provenance_conservative_with_guard"": [""PUBIR-E001"", ""PUBIR-E002"", ""PUBIR-E003""]}",company_policy,documented_incident_response_process|incident_reporting_channel|post_incident_review_or_lessons_learned|evidence_preservation,,source_type_mapping_error,source_type_mapping_error|requirement_too_composite|label_too_strict,"MSU public page supports plan existence, reporting, forensic analysis, and post mortem elements."
PUBEXT18-010,fulfilled,partially_fulfilled,partially_fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E024""], ""provenance_balanced"": [""PUBIR-E024"", ""PUBIR-E025"", ""PUBIR-E026"", ""PUBIR-E027"", ""PUBIR-E029""], ""provenance_conservative"": [""PUBIR-E024"", ""PUBIR-E025"", ""PUBIR-E026"", ""PUBIR-E027"", ""PUBIR-E029""], ""provenance_conservative_with_guard"": [""PUBIR-E024"", ""PUBIR-E025"", ""PUBIR-E026"", ""PUBIR-E027"", ""PUBIR-E029""]}",company_policy,documented_incident_response_process|assigned_roles_and_responsibilities|periodic_testing_or_exercises|post_incident_review_or_lessons_learned,,source_type_mapping_error,source_type_mapping_error|requirement_too_composite|paraphrase_too_short|label_too_strict|method_overabstains,"Buffalo plan supports roles/procedures, lifecycle, practice, and after-action analysis."
