source_id,title,organization,url,source_type,access_date,license_or_terms_note,redistribution_decision,relevance_to_ir_criteria,notes,original_source_type,canonical_source_type,implementation_evidence_allowed,rationale_for_source_type,ambiguity_flag
PUBIR-S01-MSU,Cybersecurity Incident Response Plan,Mississippi State University,https://www.infosecurity.msstate.edu/isp/irplan,public_university_incident_response_plan,2026-04-26,Public university web page; PDF redistribution not assumed.,store_url_and_short_paraphrases_only,"Public page identifies reporting, investigation, communication, forensic analysis, and post mortem elements.",Use page and PDF URL as public source pointers; do not store full PDF text.,public_university_incident_response_plan,public_org_plan,True,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-S02-EPA,Water and Wastewater Systems Cybersecurity Incident Response Plan Template Instructions,U.S. Environmental Protection Agency,https://www.epa.gov/cyberwater/cybersecurity-planning,government_incident_response_template,2026-04-26,U.S. government public web material; local split still stores short paraphrases only.,store_url_and_short_paraphrases_only,"Template instructions mention CIRP planning, external contractors, document maintenance, training, and tabletop exercises.",Template material is useful for source-confusion and template-only evidence cases.,government_incident_response_template,public_template,False,"Mapped government_incident_response_template to public_template: guidance/templates/catalogs are context or distractors, not implementation evidence by themselves.",False
PUBIR-S03-UMGC,Information Security Incident Response Policy,University of Maryland Global Campus,https://www.umgc.edu/administration/policies-and-reporting/policies/info-governance-security-technology/information-security-incident-response,public_university_incident_response_policy,2026-04-26,Public university policy page; redistribution terms not independently verified.,store_url_and_short_paraphrases_only,"Policy describes CIRT, plan contents, severity classifications, annual review, reporting channel, and documentation.","Strong public-policy source for process, roles, reporting, review validity, and documentation criteria.",public_university_incident_response_policy,public_org_policy,True,"Mapped public_university_incident_response_policy to public_org_policy: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-S04-UA,Information Security Incident Response Plan,University of Alabama Office of Information Technology,https://oit.ua.edu/services/cybersecurity/information-security-incident-response-procedures/,public_university_incident_response_plan,2026-04-26,Public university page; redistribution terms not independently verified.,store_url_and_short_paraphrases_only,"Plan includes reporting, investigation, oversight, management, remediation, recovery, documentation, authority roles, and NIST process phases.","Useful for process, reporting, authority, escalation, and evidence-review cases.",public_university_incident_response_plan,public_org_plan,True,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-S05-USC,Cybersecurity Incident Response Policy,University of Southern California,https://policy.usc.edu/security-incident-response/,public_university_incident_response_policy,2026-04-26,Public university policy page; redistribution terms not independently verified.,store_url_and_short_paraphrases_only,"Policy defines cybersecurity incidents, includes third-party services in scope, and sets minimum response expectations.",Useful for third-party/source-scope and current reviewed policy evidence.,public_university_incident_response_policy,public_org_policy,True,"Mapped public_university_incident_response_policy to public_org_policy: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-S06-UCONN,Incident Response Plan,University of Connecticut,https://security.uconn.edu/incident-response-plan/,public_university_incident_response_plan,2026-04-26,Public university page; redistribution terms not independently verified.,store_url_and_short_paraphrases_only,"Plan covers roles, responsibilities, reporting, evidence preservation, training/tabletop exercises, phases, and lessons learned.","Strong source for process, roles, reporting, evidence preservation, training, and after-action criteria.",public_university_incident_response_plan,public_org_plan,True,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-S07-BUFFALO,Information Security Incident Response Plan,University at Buffalo,https://www.buffalo.edu/ubit/policies/policies-standards-guidelines/ubit-standards/incident-response-plan.html,public_university_incident_response_plan,2026-04-26,Public university page; redistribution terms not independently verified.,store_url_and_short_paraphrases_only,"Plan identifies roles, responsibilities, procedures, annual review, reporting contacts, practice, preservation, and after-action analysis.",Useful for annual review and broad IR lifecycle evidence.,public_university_incident_response_plan,public_org_plan,True,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-S08-SCU,Incident Response Procedure,Santa Clara University,https://www.scu.edu/is/technology-policies-procedures-and-standards/incident-response-procedure/,public_university_incident_response_procedure,2026-04-26,Public university procedure page; redistribution terms not independently verified.,store_url_and_short_paraphrases_only,"Procedure covers reporting, incident handler designation, incident logs, system isolation, and evidence preservation.",Narrow but useful for reporting and evidence-preservation cases.,public_university_incident_response_procedure,public_org_procedure,True,"Mapped public_university_incident_response_procedure to public_org_procedure: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-S09-ASU,ITS Incident Response,Albany State University,https://www.asurams.edu/technology/forms-policies/its-incident-response.php,public_university_incident_response_policy,2026-04-26,Public university policy page; redistribution terms not independently verified.,store_url_and_short_paraphrases_only,"Policy describes reporting, investigation, escalation to governance/law enforcement, affected owner notification, and incident tracking.",Useful for reporting and escalation evidence.,public_university_incident_response_policy,public_org_policy,True,"Mapped public_university_incident_response_policy to public_org_policy: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-S10-USNH,Incident Response Standard for Cybersecurity,University System of New Hampshire,https://www.usnh.edu/it/departments/cybersecurity/cybersecurity-policies-standards/incident-response-standard-cybersecurity,public_university_incident_response_standard,2026-04-26,Public web page states copyright; store paraphrases only.,store_url_and_short_paraphrases_only,"Standard describes an incident response team, assessment, containment, communication, documentation, legal notification, lessons learned, approval, and revision history.","Strong source, but use paraphrases because copyright notice is visible.",public_university_incident_response_standard,public_org_standard,True,"Mapped public_university_incident_response_standard to public_org_standard: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-S11-WWU,Cybersecurity Incident Response Guidelines,Western Washington University,https://its.wwu.edu/gdl-300007i-cybersecurity-incident-response-guidelines,public_university_incident_response_guideline,2026-04-26,Public university guideline page; redistribution terms not independently verified.,store_url_and_short_paraphrases_only,"Guideline covers IRP creation, annual updates, CIO approval, IRP elements, documentation, communication, testing, and lessons learned.","Strong source for management approval, version/review validity, and testing.",public_university_incident_response_guideline,public_org_standard,True,"Mapped public_university_incident_response_guideline to public_org_standard: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-S12-MCNEESE,Information Technology Incident Response Plan,McNeese State University,https://www.mcneese.edu/policy/information-technology-incident-response-plan/,public_university_incident_response_plan,2026-04-26,Public university policy page; redistribution terms not independently verified.,store_url_and_short_paraphrases_only,"Plan describes risk classification, IRT assembly, vendor/procurement involvement, remediation plan, incident reports, and archival responsibility.",Useful for supplier/procurement involvement and incident documentation.,public_university_incident_response_plan,public_org_plan,True,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
