evidence_id,document_id,section_title,text,source_type,planted,title,approval_status,valid_from,valid_until,created_at,language,source_trust_level,metadata
IRV04PARA-0001-EV-NONE,IRV04PARA-0001-DOC-NONE,No implementation evidence,"The review found cyber-event terminology in awareness slides, but no approved incident response process, no assigned response roles, and no current exercise record.",audit_report,True,Document Review Note,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0001-EV-DIST,IRV04PARA-0001-DOC-DIST,Scenario text,Risk scenarios mention cyber incident impact and recovery priorities without defining response operations.,irrelevant_document,True,Risk Register Extract,approved,2026-01-01,2027-01-01,2026-03-20,en,medium,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0002-EV-AMBIG,IRV04PARA-0002-DOC-AMBIG,Informal practice,"Teams handle security events as needed. A formal workflow, supplier escalation path, assigned roles, and recent exercise evidence are expected to be clarified later.",company_policy,True,Working Note Security Events,unknown,2026-01-01,2027-01-01,2026-03-20,en,medium,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0002-EV-PLAN,IRV04PARA-0002-DOC-PLAN,Future evidence,A tabletop exercise is planned for the next cycle; current evidence is not yet attached.,audit_report,True,Planning Note,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0003-EV-MIX-POL,IRV04PARA-0003-DOC-MIX-POL,Hybrid procedure,"The Vorfall workflow defines intake, triage, Eindammung, service ticket reporting, escalation to ISMS Leitung, management sign-off, and current revision validity.",company_policy,True,Incident/Vorfall Playbook,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0003-EV-MIX-ROLE,IRV04PARA-0003-DOC-MIX-ROLE,Named owners,"Incident commander, technische Leitung, communications owner, procurement liaison, legal reviewer, and executive approver are assigned.",role_matrix,True,Hybrid Role Matrix,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0003-EV-MIX-TEST,IRV04PARA-0003-DOC-MIX-TEST,Exercise evidence,"Die 2026 tabletop Uebung documents scenario, decisions, lessons learned, Massnahmen, owners, and closure evidence.",test_record,True,Hybrid Exercise Record,approved,2026-01-01,2027-01-01,2026-03-20,de,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0003-EV-MIX-SUP,IRV04PARA-0003-DOC-MIX-SUP,Provider escalation,Supplier and Dienstleister incident escalation is required to procurement and the event lead within one business day.,supplier_contract,True,Hybrid Supplier Annex,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0004-EV-POL,IRV04PARA-0004-DOC-POL,Core process,"Cyber incident handling defines intake, containment coordination, reporting, escalation, management sign-off, and document validity.",company_policy,True,Cyber Response Guide,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0004-EV-ROLE,IRV04PARA-0004-DOC-ROLE,Duties,The accountability roster names operational incident response owners.,role_matrix,True,Response Roster,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0004-EV-SUP,IRV04PARA-0004-DOC-SUP,Suppliers,Provider notification and escalation duties are included in supplier clauses.,supplier_contract,True,Provider Escalation Clause,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0004-EV-GAP,IRV04PARA-0004-DOC-GAP,Testing gap,"No current-period exercise minutes, tabletop record, or lessons-learned closure evidence was available.",audit_report,True,Assurance Note,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0005-EV-NONE,IRV04PARA-0005-DOC-NONE,No implementation evidence,"The review found cyber-event terminology in awareness slides, but no approved incident response process, no assigned response roles, and no current exercise record.",audit_report,True,Document Review Note,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0005-EV-DIST,IRV04PARA-0005-DOC-DIST,Scenario text,Risk scenarios mention cyber incident impact and recovery priorities without defining response operations.,irrelevant_document,True,Risk Register Extract,approved,2026-01-01,2027-01-01,2026-03-20,en,medium,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0006-EV-AMBIG,IRV04PARA-0006-DOC-AMBIG,Informal practice,"Teams handle security events as needed. A formal workflow, supplier escalation path, assigned roles, and recent exercise evidence are expected to be clarified later.",company_policy,True,Working Note Security Events,unknown,2026-01-01,2027-01-01,2026-03-20,en,medium,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0006-EV-PLAN,IRV04PARA-0006-DOC-PLAN,Future evidence,A tabletop exercise is planned for the next cycle; current evidence is not yet attached.,audit_report,True,Planning Note,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0007-EV-POL,IRV04PARA-0007-DOC-POL,Operating model,"Cyber event handling describes intake, severity sorting, containment coordination, ticket reporting, escalation to security governance, leadership sign-off, and controlled revision status.",company_policy,True,Cyber Event Handling Standard,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0007-EV-ROLE,IRV04PARA-0007-DOC-ROLE,Accountability,"Named accountability is assigned for event lead, technical coordinator, communications, procurement liaison, legal review, and executive authorization.",role_matrix,True,Response Accountability Register,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0007-EV-TEST,IRV04PARA-0007-DOC-TEST,Current exercise,"A 2026 ransomware rehearsal recorded participants, decisions, corrective actions, owners, completion evidence, and lessons learned.",test_record,True,Scenario Rehearsal Minutes,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0007-EV-SUP,IRV04PARA-0007-DOC-SUP,Third-party escalation,Provider agreements require security-event notification within one business day and escalation to the event lead and procurement liaison.,supplier_contract,True,Provider Notification Clause,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0008-EV-POL,IRV04PARA-0008-DOC-POL,Core process,"Cyber incident handling defines intake, containment coordination, reporting, escalation, management sign-off, and document validity.",company_policy,True,Cyber Response Guide,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0008-EV-ROLE,IRV04PARA-0008-DOC-ROLE,Duties,The accountability roster names operational incident response owners.,role_matrix,True,Response Roster,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0008-EV-SUP,IRV04PARA-0008-DOC-SUP,Suppliers,Provider notification and escalation duties are included in supplier clauses.,supplier_contract,True,Provider Escalation Clause,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0008-EV-GAP,IRV04PARA-0008-DOC-GAP,Testing gap,"No current-period exercise minutes, tabletop record, or lessons-learned closure evidence was available.",audit_report,True,Assurance Note,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0009-EV-NONE,IRV04PARA-0009-DOC-NONE,No implementation evidence,"The review found cyber-event terminology in awareness slides, but no approved incident response process, no assigned response roles, and no current exercise record.",audit_report,True,Document Review Note,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0009-EV-DIST,IRV04PARA-0009-DOC-DIST,Scenario text,Risk scenarios mention cyber incident impact and recovery priorities without defining response operations.,irrelevant_document,True,Risk Register Extract,approved,2026-01-01,2027-01-01,2026-03-20,en,medium,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0010-EV-AMBIG,IRV04PARA-0010-DOC-AMBIG,Informal practice,"Teams handle security events as needed. A formal workflow, supplier escalation path, assigned roles, and recent exercise evidence are expected to be clarified later.",company_policy,True,Working Note Security Events,unknown,2026-01-01,2027-01-01,2026-03-20,en,medium,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0010-EV-PLAN,IRV04PARA-0010-DOC-PLAN,Future evidence,A tabletop exercise is planned for the next cycle; current evidence is not yet attached.,audit_report,True,Planning Note,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0011-EV-DE-POL,IRV04PARA-0011-DOC-DE-POL,Ablauf und Freigabe,"Der Ablauf fuer Cyber-Sicherheitsereignisse regelt Annahme, Bewertung, Eindammung, Meldung ueber Tickets, Eskalation an die ISMS-Koordination, Freigabe durch die Leitung und gueltigen Dokumentenstand.",company_policy,True,Leitfaden Sicherheitsereignisse,approved,2026-01-01,2027-01-01,2026-03-20,de,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0011-EV-DE-ROLE,IRV04PARA-0011-DOC-DE-ROLE,Rollen,"Die Zustandsliste benennt Ereignisleitung, technische Koordination, Kommunikation, Einkauf, Rechtskontakt und Freigabeinhaber.",role_matrix,True,Zustaendigkeitsliste Cyber-Ereignisse,approved,2026-01-01,2027-01-01,2026-03-20,de,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0011-EV-DE-TEST,IRV04PARA-0011-DOC-DE-TEST,Aktuelle Uebung,"Im Jahr 2026 wurde eine Ransomware-Uebung mit Teilnehmern, Entscheidungen, Verbesserungen, Verantwortlichen und Abschlussnachweisen protokolliert.",test_record,True,Protokoll Cyber-Uebung,approved,2026-01-01,2027-01-01,2026-03-20,de,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0011-EV-DE-SUP,IRV04PARA-0011-DOC-DE-SUP,Eskalation,Dienstleister muessen Sicherheitsereignisse innerhalb eines Arbeitstages melden und an Ereignisleitung sowie Einkauf eskalieren.,supplier_contract,True,Dienstleister-Meldeklausel,approved,2026-01-01,2027-01-01,2026-03-20,de,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0012-EV-POL,IRV04PARA-0012-DOC-POL,Core process,"Cyber incident handling defines intake, containment coordination, reporting, escalation, management sign-off, and document validity.",company_policy,True,Cyber Response Guide,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0012-EV-ROLE,IRV04PARA-0012-DOC-ROLE,Duties,The accountability roster names operational incident response owners.,role_matrix,True,Response Roster,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0012-EV-SUP,IRV04PARA-0012-DOC-SUP,Suppliers,Provider notification and escalation duties are included in supplier clauses.,supplier_contract,True,Provider Escalation Clause,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0012-EV-GAP,IRV04PARA-0012-DOC-GAP,Testing gap,"No current-period exercise minutes, tabletop record, or lessons-learned closure evidence was available.",audit_report,True,Assurance Note,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0013-EV-NONE,IRV04PARA-0013-DOC-NONE,No implementation evidence,"The review found cyber-event terminology in awareness slides, but no approved incident response process, no assigned response roles, and no current exercise record.",audit_report,True,Document Review Note,approved,2026-01-01,2027-01-01,2026-03-20,en,high,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0013-EV-DIST,IRV04PARA-0013-DOC-DIST,Scenario text,Risk scenarios mention cyber incident impact and recovery priorities without defining response operations.,irrelevant_document,True,Risk Register Extract,approved,2026-01-01,2027-01-01,2026-03-20,en,medium,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
IRV04PARA-0014-EV-AMBIG,IRV04PARA-0014-DOC-AMBIG,Informal practice,"Teams handle security events as needed. A formal workflow, supplier escalation path, assigned roles, and recent exercise evidence are expected to be clarified later.",company_policy,True,Working Note Security Events,unknown,2026-01-01,2027-01-01,2026-03-20,en,medium,"{'benchmark_version': 'v04', 'split': 'paraphrase_stress_v04'}"
