evidence_id,document_id,section_title,text,source_type,planted,title,approval_status,valid_from,valid_until,created_at,language,source_trust_level,metadata
MAN9-001-E-POL,MAN9-001-D-POL,Detection and escalation,"Approved incident response procedure version 4.2 valid until 2027-09-30. Staff report suspected security incidents through the service desk hotline. The incident commander triages, contains, and escalates severe events to the crisis lead within 30 minutes. Management approval: CISO and COO.",company_policy,True,Major Incident Procedure v4.2,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-001-E-ROLE,MAN9-001-D-ROLE,Incident roles,"Role matrix names the incident commander, communications lead, forensics owner, and supplier liaison. Responsibilities and deputies are assigned for on-call weeks.",role_matrix,True,Security Duty Roster Q2,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-001-E-TEST,MAN9-001-D-TEST,Lessons learned,"The February 2026 incident response tabletop exercise tested reporting, escalation, containment, supplier notification, and executive communication. Lessons learned were logged with remediation owners.",test_record,True,Tabletop Exercise Record 2026-02,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-001-E-SUP,MAN9-001-D-SUP,Supplier security incidents,Supplier security incident escalation requires the SOC provider to notify the company security manager within two hours and participate in post-incident review.,supplier_contract,True,Managed SOC Contract Annex,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-002-E-POL,MAN9-002-D-POL,Workflow,"Controlled document version 3.1, valid until 2027-05-31. The incident response process covers intake, triage, containment, eradication, recovery, reporting channel, escalation to senior management, and post-incident closure.",company_policy,True,IR Playbook North Region,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-002-E-ROLE,MAN9-002-D-RACI,Assigned owners,"The RACI assigns incident commander, service desk intake, legal contact, supplier liaison, and remediation owner responsibilities.",role_matrix,True,Cyber Incident RACI,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-002-E-TEST,MAN9-002-D-DRILL,Exercise outcome,"April 2026 simulation completed. Exercise covered phishing-to-ransomware escalation, management notification, supplier ticketing, and lessons learned actions.",test_record,True,Cyber Drill Notes April 2026,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-002-E-SUP,MAN9-002-D-SUP,Provider escalation,The hosting provider must escalate confirmed or suspected security incidents to the company incident commander and supplier liaison.,supplier_contract,True,Hosting Provider Security Addendum,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-003-E-POL,MAN9-003-D-POL,Meldewege und Eskalation,"Freigegebenes Verfahren Version 2.8, gueltig bis 2027-12-31. Sicherheitsvorfaelle werden ueber Service Desk oder Notfalltelefon gemeldet. Incident Commander bewertet, eskaliert an Krisenstab und dokumentiert containment und recovery.",company_policy,True,Verfahren Sicherheitsvorfall,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-003-E-ROLE,MAN9-003-D-ROLE,Rollen,"Rollenmatrix benennt Incident Commander, Kommunikation, Technik, Datenschutz und Lieferantenkontakt mit Stellvertretung.",role_matrix,True,Rollenmatrix Security Incident,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-003-E-TEST,MAN9-003-D-TEST,English audit note,"Auditor observed March 2026 tabletop exercise. Reporting path, supplier escalation, executive briefing, and lessons learned register were sampled.",test_record,True,Audit note on 2026 tabletop,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-003-E-SUP,MAN9-003-D-SUP,Eskalation,Dienstleister meldet Sicherheitsvorfall unverzueglich an den Supplier Liaison und nimmt an Nachbereitung teil.,supplier_contract,True,Dienstleister Incident Anlage,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-004-E-POL,MAN9-004-D-POL,Scope,"Approved standard version 6.0 valid until 2028-01-31. It defines security incident intake, reporting channel, severity triage, escalation to senior management, containment, recovery, post-incident review, and document owner review.",company_policy,True,Incident Handling Standard,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-004-E-ROLE,MAN9-004-D-TEAM,On-call,"Named owner list assigns the incident commander, deputy, evidence custodian, supplier contact, and lessons learned coordinator.",role_matrix,True,Blue Team Responsibilities,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-004-E-TEST,MAN9-004-D-EX,Results,"Q1 2026 walkthrough tested incident reporting, escalation, third-party outage notification, and closure review. Improvement actions were assigned.",test_record,True,Quarterly Walkthrough 2026-Q1,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-004-E-SUP,MAN9-004-D-CLOUD,Notifications,Cloud provider security incident clause requires notice to the incident commander and participation in review calls.,supplier_contract,True,Cloud Operations Security Clause,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-005-E-POL,MAN9-005-D-POL,Operational flow,"Version 5.4 approved by management and valid until 2027-10-15. The guide defines incident response intake, service desk reporting channel, escalation procedure, containment, recovery, and closure review.",company_policy,True,Security Event Response Guide,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-005-E-ROLE,MAN9-005-D-RM,Ownership,"The role matrix assigns responsibilities for incident commander, technical lead, business owner, supplier manager, and communications lead.",role_matrix,True,Incident Response Role Matrix,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-005-E-TEST,MAN9-005-D-REC,Exercise,"A 2026 simulation tested ransomware escalation, management approval path, supplier notification, and post-incident lessons learned.",test_record,True,Security Incident Simulation 2026,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-005-E-SUP,MAN9-005-D-MSA,Supplier escalation,Suppliers must report suspected security incidents to the company's security operations mailbox and supplier liaison within defined severity windows.,supplier_contract,True,MSA Security Incident Appendix,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-006-E-POL,MAN9-006-D-POL,Ablauf,"Freigabe durch Geschaeftsfuehrung. Version 3.0 gueltig bis 2027-08-30. Meldung erfolgt ueber Hotline, Eskalation an Incident Commander und Krisenstab, anschliessend Nachbereitung.",company_policy,True,Sicherheitsereignis Handbuch,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-006-E-ROLE,MAN9-006-D-RACI,Verantwortung,"Rollenmatrix benennt Verantwortliche fuer Triage, Technik, Managementkommunikation und Lieferantenkoordination.",role_matrix,True,RACI Sicherheitsvorfall,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-006-E-TEST,MAN9-006-D-AUD,Testing sampled,"Audit sampled 2026 tabletop evidence and confirmed that supplier escalation, reporting channel, and lessons learned actions were exercised.",audit_report,True,Audit Sample IR-06,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-006-E-SUP,MAN9-006-D-SUP,Meldepflicht,Der SOC-Dienstleister muss relevante Sicherheitsvorfaelle an den Supplier Liaison und Incident Commander melden.,supplier_contract,True,SOC Vertrag Anlage Sicherheit,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-007-E-POL,MAN9-007-D-POL,Procedure,"Approved incident response process version 7.2 valid until 2027-06-30. It includes reporting channel, severity escalation, containment, recovery, supplier coordination, and post-incident review.",company_policy,True,Security Incident SOP,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-007-E-ROLE,MAN9-007-D-CALL,Roster,"The roster assigns named incident commander, evidence owner, communications owner, and supplier escalation contact.",role_matrix,True,On Call Security Roles,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-007-E-TEST,MAN9-007-D-TT,Actions,"January 2026 tabletop tested escalation, service desk intake, supplier notification, and lessons learned tracking.",test_record,True,Tabletop Record 2026-01,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-007-E-SUP,MAN9-007-D-VEND,Third party,Third-party incident escalation is defined for critical suppliers with a two-hour notification target.,supplier_contract,True,Vendor Incident Clause,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-008-E-POL,MAN9-008-D-POL,Controls,"Management approved version 4.8 valid until 2027-11-30. The manual defines security incident response, reporting channel, escalation procedure, supplier communication, and post-incident review.",company_policy,True,Incident Response Manual,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-008-E-ROLE,MAN9-008-D-RACI,Matrix,"Responsibilities are assigned for incident commander, deputy, technical lead, legal, supplier liaison, and lessons learned owner.",role_matrix,True,IR Responsibilities,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-008-E-TEST,MAN9-008-D-EX,2026 exercise,"The 2026 exercise tested reporting, escalation, containment, supplier notification, management communication, and improvement tracking.",test_record,True,Full-cycle IR Exercise,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-008-E-SUP,MAN9-008-D-SUP,Incident clause,Supplier must notify the company incident commander for confirmed or suspected security incidents and support post-incident review.,supplier_contract,True,Supplier Security Exhibit,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-009-E-POL,MAN9-009-D-POL,Cyber annex,"Approved cyber incident response annex version 2.5 valid until 2027-04-30. It defines cyber incident reporting, triage, escalation to crisis management, supplier escalation, recovery, and lessons learned.",company_policy,True,Crisis and Cyber Incident Response,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
MAN9-009-E-ROLE,MAN9-009-D-RM,Roles,"Role map assigns technical lead, incident commander, crisis liaison, supplier coordinator, and evidence custodian.",role_matrix,True,Cyber Annex Role Map,approved,2025-01-01,2027-12-31,2026-02-12,en,high,"{""language"": ""en"", ""manual_v09"": true, ""source_trust_level"": ""high""}"
