case_id,original_case_id,case_cleanup_status,expected_status,predicted_metadata_aware,predicted_provenance_balanced,predicted_provenance_conservative,predicted_provenance_conservative_with_guard,false_compliance_by_method,abstention_by_method,evidence_ids_used_by_method,canonical_source_types,requirement_criteria,missing_criteria,likely_error_type,all_error_categories,rationale
PUBEXT18B-001,PUBEXT18-001,retained_clean,fulfilled,partially_fulfilled,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E006""], ""provenance_balanced"": [""PUBIR-E004"", ""PUBIR-E005"", ""PUBIR-E006"", ""PUBIR-E007"", ""PUBIR-E008""], ""provenance_conservative"": [""PUBIR-E004"", ""PUBIR-E005"", ""PUBIR-E006"", ""PUBIR-E007"", ""PUBIR-E008""], ""provenance_conservative_with_guard"": [""PUBIR-E004"", ""PUBIR-E005"", ""PUBIR-E006"", ""PUBIR-E007"", ""PUBIR-E008""]}",public_org_policy,documented_incident_response_process|incident_reporting_channel|assigned_roles_and_responsibilities,,method_overabstains,method_overabstains,"UMGC policy supports plan contents, CIRT roles, and reporting channel."
PUBEXT18B-002,PUBEXT18-002,retained_clean,fulfilled,unclear,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E009"", ""PUBIR-E010"", ""PUBIR-E011"", ""PUBIR-E012""], ""provenance_conservative"": [""PUBIR-E009"", ""PUBIR-E010"", ""PUBIR-E011"", ""PUBIR-E012""], ""provenance_conservative_with_guard"": [""PUBIR-E009"", ""PUBIR-E010"", ""PUBIR-E011"", ""PUBIR-E012""]}",public_org_plan,documented_incident_response_process|escalation_procedure|management_approval,,method_overabstains,method_overabstains,"UA evidence supports process, authority, and escalation/approval paths."
PUBEXT18B-003,PUBEXT18-003,revised,fulfilled,partially_fulfilled,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E017"", ""PUBIR-E019"", ""PUBIR-E020""], ""provenance_balanced"": [""PUBIR-E017"", ""PUBIR-E019"", ""PUBIR-E020"", ""PUBIR-E021"", ""PUBIR-E023""], ""provenance_conservative"": [""PUBIR-E017"", ""PUBIR-E019"", ""PUBIR-E020"", ""PUBIR-E021"", ""PUBIR-E023""], ""provenance_conservative_with_guard"": [""PUBIR-E017"", ""PUBIR-E019"", ""PUBIR-E020"", ""PUBIR-E021"", ""PUBIR-E023""]}",public_org_plan,documented_incident_response_process|assigned_roles_and_responsibilities|incident_reporting_channel|evidence_preservation,,requirement_too_composite,requirement_too_composite|label_too_strict|method_overabstains,"UConn evidence supports process, roles, reporting contacts, and evidence preservation."
PUBEXT18B-004,PUBEXT18-004,retained_clean,fulfilled,partially_fulfilled,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E041""], ""provenance_balanced"": [""PUBIR-E039"", ""PUBIR-E041""], ""provenance_conservative"": [""PUBIR-E039"", ""PUBIR-E041""], ""provenance_conservative_with_guard"": [""PUBIR-E039"", ""PUBIR-E041""]}",public_org_standard,documented_incident_response_process|document_version_and_validity|periodic_testing_or_exercises,,method_overabstains,method_overabstains,WWU guideline supports approved/reviewed IRP elements and annual exercise testing.
PUBEXT18B-005,PUBEXT18-005,revised,fulfilled,partially_fulfilled,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E036"", ""PUBIR-E037""], ""provenance_balanced"": [""PUBIR-E035"", ""PUBIR-E036"", ""PUBIR-E037"", ""PUBIR-E038""], ""provenance_conservative"": [""PUBIR-E035"", ""PUBIR-E036"", ""PUBIR-E037"", ""PUBIR-E038""], ""provenance_conservative_with_guard"": [""PUBIR-E035"", ""PUBIR-E036"", ""PUBIR-E037"", ""PUBIR-E038""]}",public_org_standard,documented_incident_response_process|escalation_procedure|evidence_preservation|post_incident_review_or_lessons_learned,,requirement_too_composite,requirement_too_composite|paraphrase_too_short|label_too_strict|method_overabstains,"USNH standard supports process phases, documentation/evidence, and lessons learned."
PUBEXT18B-006,PUBEXT18-006,retained_clean,fulfilled,partially_fulfilled,partially_fulfilled,partially_fulfilled,partially_fulfilled,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": [""PUBIR-E045""], ""provenance_balanced"": [""PUBIR-E042"", ""PUBIR-E043"", ""PUBIR-E045""], ""provenance_conservative"": [""PUBIR-E042"", ""PUBIR-E043"", ""PUBIR-E045""], ""provenance_conservative_with_guard"": [""PUBIR-E042"", ""PUBIR-E043"", ""PUBIR-E045""]}",public_org_plan,documented_incident_response_process|assigned_roles_and_responsibilities|supplier_or_third_party_incident_escalation,,paraphrase_too_short,paraphrase_too_short,"McNeese plan supports risk classification, IRT roles, and procurement involvement for vendor incidents."
PUBEXT18B-007,PUBEXT18-007,retained_clean,fulfilled,partially_fulfilled,partially_fulfilled,partially_fulfilled,partially_fulfilled,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": [""PUBIR-E031""], ""provenance_balanced"": [""PUBIR-E031""], ""provenance_conservative"": [""PUBIR-E031""], ""provenance_conservative_with_guard"": [""PUBIR-E031""]}",public_org_procedure,documented_incident_response_process|incident_reporting_channel|evidence_preservation,,genuine_generalization_failure,genuine_generalization_failure,"SCU procedure supports immediate reporting, incident handler assignment, logs, and evidence preservation."
PUBEXT18B-008,PUBEXT18-008,retained_clean,fulfilled,partially_fulfilled,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E033"", ""PUBIR-E034""], ""provenance_balanced"": [""PUBIR-E032"", ""PUBIR-E033"", ""PUBIR-E034""], ""provenance_conservative"": [""PUBIR-E032"", ""PUBIR-E033"", ""PUBIR-E034""], ""provenance_conservative_with_guard"": [""PUBIR-E032"", ""PUBIR-E033"", ""PUBIR-E034""]}",public_org_policy,documented_incident_response_process|incident_reporting_channel|escalation_procedure,,method_overabstains,method_overabstains,"Albany State policy supports process, help-desk reporting, and escalation responsibilities."
PUBEXT18B-009,PUBEXT18-009,revised,fulfilled,partially_fulfilled,partially_fulfilled,partially_fulfilled,partially_fulfilled,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": [""PUBIR-E002""], ""provenance_balanced"": [""PUBIR-E001"", ""PUBIR-E002"", ""PUBIR-E003""], ""provenance_conservative"": [""PUBIR-E001"", ""PUBIR-E002"", ""PUBIR-E003""], ""provenance_conservative_with_guard"": [""PUBIR-E001"", ""PUBIR-E002"", ""PUBIR-E003""]}",public_org_plan,documented_incident_response_process|incident_reporting_channel|post_incident_review_or_lessons_learned|evidence_preservation,,requirement_too_composite,requirement_too_composite|label_too_strict,"MSU public page supports plan existence, reporting, forensic analysis, and post mortem elements."
PUBEXT18B-010,PUBEXT18-010,revised,fulfilled,partially_fulfilled,partially_fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E024""], ""provenance_balanced"": [""PUBIR-E024"", ""PUBIR-E025"", ""PUBIR-E026"", ""PUBIR-E027"", ""PUBIR-E029""], ""provenance_conservative"": [""PUBIR-E024"", ""PUBIR-E025"", ""PUBIR-E026"", ""PUBIR-E027"", ""PUBIR-E029""], ""provenance_conservative_with_guard"": [""PUBIR-E024"", ""PUBIR-E025"", ""PUBIR-E026"", ""PUBIR-E027"", ""PUBIR-E029""]}",public_org_plan,documented_incident_response_process|assigned_roles_and_responsibilities|periodic_testing_or_exercises|post_incident_review_or_lessons_learned,,requirement_too_composite,requirement_too_composite|paraphrase_too_short|label_too_strict|method_overabstains,"Buffalo plan supports roles/procedures, lifecycle, practice, and after-action analysis."
