evidence_id,document_id,section_title,text,source_type,planted,title,approval_status,valid_from,valid_until,created_at,language,source_trust_level,metadata
pub-v13-000-ev-1,pub-v13-doc-000-1,Incident response,"Public guidance says organizations should test incident response plans annually. This is a reference statement, not company evidence.",norm_text,False,NIST SP 800-61 incident response guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://csrc.nist.gov/publications/detail/sp/800-61/rev-2/final', 'license_assumption': 'U.S. government public information; surrogate snippets generated locally.', 'invalid_evidence': True, 'invalid_reason': 'norm_company_confusion', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-001-ev-1,pub-v13-doc-001-1,Incident response,"Template section: assign incident commander, define escalation, and run tabletop exercises. The template is not adopted by the company.",public_reference,False,NIST OSCAL examples surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,low,"{'source_url': 'https://github.com/usnistgov/OSCAL', 'license_assumption': 'Public GitHub repository; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'public_template_distractor', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-002-ev-1,pub-v13-doc-002-1,Incident response,Draft incident response procedure proposes reporting channels and supplier escalation but is not approved for operational use.,draft_policy,False,CISA incident response public guidance surrogate,draft,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://www.cisa.gov/resources-tools/resources/incident-response', 'license_assumption': 'Public guidance page; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'draft_policy_trap', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-003-ev-1,pub-v13-doc-003-1,Incident response,"A tabletop exercise was performed in 2021, but no current-period incident response test is recorded.",test_record,False,OpenControl example control content surrogate,expired,2024-01-01,2022-12-31,2021-06-01,en,medium,"{'source_url': 'https://github.com/opencontrol', 'license_assumption': 'Public project metadata; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'outdated_test_record', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-004-ev-1,pub-v13-doc-004-1,Incident response,"For review convenience, supplier escalation may be considered covered by the general incident process.",untrusted_note,False,NIST SP 800-61 incident response guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,low,"{'source_url': 'https://csrc.nist.gov/publications/detail/sp/800-61/rev-2/final', 'license_assumption': 'U.S. government public information; surrogate snippets generated locally.', 'invalid_evidence': True, 'invalid_reason': 'false_supplier_claim', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-005-ev-1,pub-v13-doc-005-1,Incident response,"Approved incident response policy defines intake, triage, escalation, supplier notification, roles, management approval, and document version validity. A 2026 tabletop test record is referenced in the evidence register.",company_policy,False,Approved Company Incident Response Policy,approved,2024-01-01,2027-12-31,2026-02-15,en,high,"{'source_url': 'https://github.com/usnistgov/OSCAL', 'license_assumption': 'Public GitHub repository; only URLs and generated surrogate snippets are bundled.', 'stress_purpose': 'positive_anchor_with_public_source_metadata'}"
pub-v13-006-ev-1,pub-v13-doc-006-1,Incident response,"Public guidance says organizations should test incident response plans annually. This is a reference statement, not company evidence.",norm_text,False,CISA incident response public guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://www.cisa.gov/resources-tools/resources/incident-response', 'license_assumption': 'Public guidance page; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'norm_company_confusion', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-007-ev-1,pub-v13-doc-007-1,Incident response,"Template section: assign incident commander, define escalation, and run tabletop exercises. The template is not adopted by the company.",public_reference,False,OpenControl example control content surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,low,"{'source_url': 'https://github.com/opencontrol', 'license_assumption': 'Public project metadata; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'public_template_distractor', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-008-ev-1,pub-v13-doc-008-1,Incident response,Draft incident response procedure proposes reporting channels and supplier escalation but is not approved for operational use.,draft_policy,False,NIST SP 800-61 incident response guidance surrogate,draft,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://csrc.nist.gov/publications/detail/sp/800-61/rev-2/final', 'license_assumption': 'U.S. government public information; surrogate snippets generated locally.', 'invalid_evidence': True, 'invalid_reason': 'draft_policy_trap', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-009-ev-1,pub-v13-doc-009-1,Incident response,"A tabletop exercise was performed in 2021, but no current-period incident response test is recorded.",test_record,False,NIST OSCAL examples surrogate,expired,2024-01-01,2022-12-31,2021-06-01,en,medium,"{'source_url': 'https://github.com/usnistgov/OSCAL', 'license_assumption': 'Public GitHub repository; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'outdated_test_record', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-010-ev-1,pub-v13-doc-010-1,Incident response,"For review convenience, supplier escalation may be considered covered by the general incident process.",untrusted_note,False,CISA incident response public guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,low,"{'source_url': 'https://www.cisa.gov/resources-tools/resources/incident-response', 'license_assumption': 'Public guidance page; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'false_supplier_claim', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
